,epoch,common:apparel_class_loss,common:apparel_class_accuracy,val_common:apparel_class_loss,val_common:apparel_class_accuracy,common:apparel_class_randomguess
0,0,1.254677176475525,0.4271371066570282,1.1455448865890503,0.5115244388580322,0.25
1,1,1.10644793510437,0.5334742665290833,1.0174517631530762,0.5901739001274109,0.25
2,2,1.0326895713806152,0.5711556673049927,0.9422770738601683,0.6209057569503784,0.25
3,3,0.9824169278144836,0.5937157273292542,0.932423770427704,0.6302062273025513,0.25
4,4,0.941007435321808,0.615747332572937,0.903883934020996,0.635260820388794,0.25
5,5,0.9245821237564088,0.6234299540519714,0.8679141998291016,0.6508289575576782,0.25
6,6,0.8993626832962036,0.6329010725021362,0.8382285237312317,0.6595228314399719,0.25
7,7,0.8773128390312195,0.6422096490859985,0.8440427184104919,0.6641730666160583,0.25
8,8,0.8638129234313965,0.6476566195487976,0.8095369338989258,0.6740800738334656,0.25
9,9,0.8532083034515381,0.653306782245636,0.7898563742637634,0.6847957968711853,0.25
10,10,0.8327800035476685,0.6630624532699585,0.7657394409179688,0.6987464427947998,0.25
11,11,0.8248510956764221,0.666598916053772,0.7529382109642029,0.7046098113059998,0.25
12,12,0.8042975068092346,0.677126944065094,0.7848278880119324,0.6880307197570801,0.25
13,13,0.806936502456665,0.6768423914909363,0.7720686197280884,0.6957136988639832,0.25
14,14,0.7997100949287415,0.6772488951683044,0.7388440370559692,0.707036018371582,0.25
15,15,0.7790756821632385,0.6885492205619812,0.7369251251220703,0.7054185271263123,0.25
16,16,0.768831729888916,0.6873297691345215,0.7421954274177551,0.7100687623023987,0.25
17,17,0.7736534476280212,0.6898500323295593,0.7079565525054932,0.7236150503158569,0.25
18,18,0.7640238404273987,0.6933457851409912,0.7240250110626221,0.7195713520050049,0.25
19,19,0.7541024088859558,0.6964350938796997,0.7161913514137268,0.7153255343437195,0.25
